created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Dec 08 12:33:07 +0000 2023;1733102404466286652;"@jokowi Setuju Pak @jokowi pegungsi rohingnya korban, byk yg stres depresi emosional.. rakyat aceh jg cape ga bs terus2an nampung.. moga pemerintah ada solusi terbaik buat kondisi ini, aamiin";0;0;0;0;in;1597155176091070464;1733084460172845500;stella_jeruk__;https://twitter.com/stella_jeruk__/status/1733102404466286652
Fri Dec 08 11:03:16 +0000 2023;1733079793644834929;"@iomitoaya Hmm so far sih keknya wa sekarang2 lbh byk pake twt deh, soalnya kalo ig... Wa masih depresi banget, keinget... Akun keduaku kena jd korban suspend for no reason, gegara waktu itu ig meta bermasalah 😭😭✋🏻";0;0;0;0;in;1372776076699570179;1733076824983499131;sarusa_indo3;https://twitter.com/sarusa_indo3/status/1733079793644834929
Fri Dec 08 09:55:16 +0000 2023;1733062680548937737;"Nggak kuat baca kasus pembunuhan di Jagakarsa. Bocah kecil yg nggak tahu apapun jadi korban. Jika ini karena depresi dan sumbernya ekonomi, tragis. Keguyuban masyarakat kita mulai aus, ada tatanan sosial yg butuh dibenahi.";0;0;0;1;in;2429081220;1733062680548937737;Nefertitefitriy;https://twitter.com/Nefertitefitriy/status/1733062680548937737
Fri Dec 08 04:36:28 +0000 2023;1732982450186490362;"@TastyButtze Di kota ku saban hari juga ada sekolah MTs (setara dgn SMP) swasta terkenal. Korbannya dibully sampe depresi berat, koma dan akhirnya meninggal (blm ada sebulan ini).   Tau apa yg dilakukan keluarga pembully ketika pertemuan dgn keluarga korban ? Ngasih sumbangan 2,5 jt 💆🏻‍♀️💆🏻‍♀️💆🏻‍♀️";0;1;2;12;in;1343352380;1732762227994702315;qomaqueen;https://twitter.com/qomaqueen/status/1732982450186490362
Thu Dec 07 22:56:35 +0000 2023;1732896917024334184;"@MellisA_An Semua pelaku harus bertanggung jawab. Depresi korban harus ditangani dengan baik.  Pindahkan korban ke sekolah lain.";0;0;0;0;in;468162395;1732738781411946781;PhinaPinokio;https://twitter.com/PhinaPinokio/status/1732896917024334184
Thu Dec 07 17:25:36 +0000 2023;1732813623356170631;"Seorang Pria Ditemukan Tewas Gantung Diri di Kamar Rumah Temannya, Polisi : Diduga Korban Depresi   #KRGassNoLimit #KRLove,Care&amp Share #SalamPRES https://t.co/wJ0FbRiOrl";0;0;0;0;in;1199293789824675841;1732813623356170631;telukpakedai;https://twitter.com/telukpakedai/status/1732813623356170631
Thu Dec 07 14:00:54 +0000 2023;1732762110529044945;"@Pai_C1 Turut berduka cita. Kebiasaan bully/menggertak dalam dunia sekolah perlu ditanggapi serius. Korban bully bisa depresi hingga bunuh diri. Semoga bully di sekolah dapat dihindarkan di masa depan.";0;0;0;5;in;1071607990573092864;1732760957544476996;anonapostate;https://twitter.com/anonapostate/status/1732762110529044945
Thu Dec 07 11:53:27 +0000 2023;1732730034228797881;"Seorang Pria Ditemukan Tewas Gantung Diri di Kamar Rumah Temannya, Polisi : Diduga Korban Depresi   https://t.co/ElDM7SvsSL https://t.co/4PxSeI3iL5";0;0;0;1;in;869478923368673280;1732730034228797881;P_SungaiKakap;https://twitter.com/P_SungaiKakap/status/1732730034228797881
Thu Dec 07 03:22:02 +0000 2023;1732601334266995149;"@stan_loppies @jandakembang78 Zionis setiap hari mengalami kalah telak dlm pertempuran. Bnyk korban dari pihak penjajah termasuk tank-tank n kendaraan militer mereka. Para penjajah banyak yg stress berat dan mengalami depresi. Di Israel sendiri terjadi konflik di antara pejabat militer dan juga dgn rakyatny";1;2;1;2;in;3226270328;1732184365936078922;BoyAkmal2004;https://twitter.com/BoyAkmal2004/status/1732601334266995149
Thu Dec 07 01:02:11 +0000 2023;1732566137593040906;"@kegblgnunfaedh motif kalo gak utang ya depresi, anak sllu jdi korban😌";0;0;0;1;in;2757492454;1732422677472932013;ney_brkkk;https://twitter.com/ney_brkkk/status/1732566137593040906
Wed Dec 06 15:49:09 +0000 2023;1732426961577017530;"Co aku luka kecil oprasi pake bius aja masih nangis depresi trauma pengen mati aja, trauma pasca oprasi juga lama banget, udah setahun lebih masih trauma.  Ini gimanaa anak anak kecil yg jadi korban dari kelakuan iblisnya israhell anj, gabisa bayangin sumpah.";0;0;0;0;in;3248510528;1732426961577017530;kaoriyuuki_;https://twitter.com/kaoriyuuki_/status/1732426961577017530
Wed Dec 06 14:53:42 +0000 2023;1732413007626719519;"Seorang Pria Nekat Gantung Diri di Kamar Rumah Temannya, Polisi : Diduga Korban Depresi https://t.co/20kRMuzmiS #News #Berita #Kabar #Popular #klikwarta #InfoMasyarakat #viral #beritaterkini";0;0;0;0;in;823779030767833088;1732413007626719519;klikwarta_com;https://twitter.com/klikwarta_com/status/1732413007626719519
Wed Dec 06 11:09:18 +0000 2023;1732356537740595262;"Seorang Pria Nekat Gantung Diri Hingga Tewas di Kamar Rumah Temannya, Polisi : Diduga Korban Depresi https://t.co/tlyMwLcgJC";0;0;0;0;in;842956522107805698;1732356537740595262;Indra97682245;https://twitter.com/Indra97682245/status/1732356537740595262
Wed Dec 06 10:39:01 +0000 2023;1732348917063496190;"Beredar video yang memperlihatkan seorang siswi SMA di Bandar Lampung diduga dipaksa melakukan perbuatan asusila oleh rekannya di sekolah.  Akibat peristiwa tersebut, korban yang berinisial (M) mengalami depresi dan enggan mengikuti pembelajaran di sekolah.  [via : kumparan] https://t.co/aA007gCbXh";0;1;1;6;in;741228651903995904;1732348917063496190;remajasosmed;https://twitter.com/remajasosmed/status/1732348917063496190
Wed Dec 06 10:27:08 +0000 2023;1732345925614682389;"Seorang Pria Ditemukan Tewas Gantung Diri di Kamar Rumah Temannya, Polisi : Diduga Korban Depresi.  BACA BERITA LEBIH LANJUT👇 https://t.co/eHKmaYcpnp";0;0;0;0;in;1660965671361212420;1732345925614682389;reality62428;https://twitter.com/reality62428/status/1732345925614682389
